Date,Transactions Per Block
2011-04-17,12.5388888888889
2011-04-21,13.0272108843537
2011-04-25,13.5
2011-04-29,17.67
2011-05-03,14.9744897959184
2011-05-07,18.1635514018692
2011-05-11,16.1780104712042
2011-05-15,17.1363636363636
2011-05-19,27.2690058479532
2011-05-23,20.0874125874126
2011-05-27,29.059880239521
2011-05-31,40.42
2011-06-04,39.3348214285714
2011-06-08,63.8648648648649
2011-06-12,53.3905579399142
2011-06-16,70.8111111111111
2011-06-20,47.9700854700855
2011-06-24,50.5648148148148
2011-06-28,66.99375
2011-07-02,47.4437869822485
2011-07-06,67.0
2011-07-10,61.2554744525547
2011-07-14,60.5277777777778
2011-07-18,52.8
2011-07-22,59.5430463576159
2011-07-26,47.5568181818182
2011-07-30,40.8486842105263
2011-08-03,49.2802547770701
2011-08-07,53.2539682539683
2011-08-11,55.4452554744526
2011-08-15,64.953488372093
2011-08-19,58.1221374045802
2011-08-23,46.9483870967742
2011-08-27,52.1393442622951
2011-08-31,47.0451612903226
2011-09-04,54.1641791044776
2011-09-08,50.3643410852713
2011-09-12,49.4360902255639
2011-09-16,52.1764705882353
2011-09-20,58.1785714285714
2011-09-24,44.4031007751938
2011-09-28,40.9319727891156
2011-10-02,41.6115702479339
2011-10-06,46.1875
2011-10-10,47.8211382113821
2011-10-14,43.9640287769784
2011-10-18,40.525
2011-10-22,52.1836734693878
2011-10-26,45.0598290598291
2011-10-30,44.3454545454545
2011-11-03,50.024
2011-11-07,41.6363636363636
2011-11-11,41.5175438596491
2011-11-15,37.0060606060606
2011-11-19,38.4065040650407
2011-11-23,41.7761194029851
2011-11-27,44.3947368421053
2011-12-01,34.9010989010989
2011-12-05,39.4746835443038
2011-12-09,38.0136054421769
2011-12-13,40.9545454545455
2011-12-17,32.3691275167785
2011-12-21,37.4295302013423
2011-12-25,30.3793103448276
2011-12-29,37.768115942029
2012-01-02,35.8278145695364
2012-01-06,38.8538011695906
2012-01-10,47.354609929078
2012-01-14,45.38
2012-01-18,51.9296875
2012-01-22,39.1544117647059
2012-01-26,47.8115942028985
2012-01-30,35.7732558139535
2012-02-03,44.620253164557
2012-02-07,51.1824817518248
2012-02-11,51.1933333333333
2012-02-15,69.6791044776119
2012-02-19,37.7088607594937
2012-02-23,48.2771084337349
2012-02-27,43.7337662337662
2012-03-02,57.0522388059701
2012-03-06,46.4817518248175
2012-03-10,32.5454545454545
2012-03-14,50.3284671532847
2012-03-18,37.74375
2012-03-22,41.6898734177215
2012-03-26,43.8344370860927
2012-03-30,44.3376623376623
2012-04-03,58.187969924812
2012-04-07,47.1317829457364
2012-04-11,55.7304964539007
2012-04-15,68.8878504672897
2012-04-19,50.3184713375796
2012-04-23,52.6222222222222
2012-04-27,53.2962962962963
2012-05-01,60.0470588235294
2012-05-05,77.8323353293413
2012-05-09,103.885542168675
2012-05-13,105.264285714286
2012-05-17,145.991379310345
2012-05-21,250.825396825397
2012-05-25,239.661157024793
2012-05-29,236.634920634921
2012-06-02,80.0
2012-06-06,104.16339869281
2012-06-10,245.307228915663
2012-06-14,397.038461538462
2012-06-18,223.262857142857
2012-06-22,170.760869565217
2012-06-26,202.919463087248
2012-06-30,171.348484848485
2012-07-04,154.426666666667
2012-07-08,135.941176470588
2012-07-12,162.02
2012-07-16,209.193333333333
2012-07-20,248.608108108108
2012-07-24,176.204968944099
2012-07-28,230.261437908497
2012-08-01,227.89552238806
2012-08-05,239.446043165468
2012-08-09,176.129411764706
2012-08-13,305.45
2012-08-17,293.869565217391
2012-08-21,245.173410404624
2012-08-25,242.311594202899
2012-08-29,203.625
2012-09-02,204.80487804878
2012-09-06,250.233918128655
2012-09-10,224.213333333333
2012-09-14,222.950617283951
2012-09-18,196.532934131737
2012-09-22,140.216560509554
2012-09-26,231.521428571429
2012-09-30,129.987421383648
2012-10-04,247.713178294574
2012-10-08,214.668539325843
2012-10-12,192.570469798658
2012-10-16,222.793548387097
2012-10-20,193.075471698113
2012-10-24,198.728395061728
2012-10-28,108.222891566265
2012-11-01,172.540145985401
2012-11-05,201.15
2012-11-09,165.506578947368
2012-11-13,193.792857142857
2012-11-17,232.414285714286
2012-11-21,257.013157894737
2012-11-25,251.616438356164
2012-11-29,225.439759036145
2012-12-03,147.340136054422
2012-12-07,249.186046511628
2012-12-11,255.409722222222
2012-12-15,279.008620689655
2012-12-19,315.246478873239
2012-12-23,301.131147540984
2012-12-27,280.685897435897
2012-12-31,190.278481012658
2013-01-04,317.575163398693
2013-01-08,290.406015037594
2013-01-12,374.352459016393
2013-01-16,409.381679389313
2013-01-20,318.238461538462
2013-01-24,296.288461538462
2013-01-28,354.965986394558
2013-02-01,403.959183673469
2013-02-05,319.880239520958
2013-02-09,403.846153846154
2013-02-13,345.555555555556
2013-02-17,264.015957446808
2013-02-21,317.704545454545
2013-02-25,329.137254901961
2013-03-01,424.572368421053
2013-03-05,409.122302158273
2013-03-09,328.674556213018
2013-03-13,361.082802547771
2013-03-17,169.129186602871
2013-03-21,254.880733944954
2013-03-25,340.229166666667
2013-03-29,357.810344827586
2013-04-02,349.591160220994
2013-04-06,317.288343558282
2013-04-10,334.455497382199
2013-04-14,362.555555555556
2013-04-18,317.21768707483
2013-04-22,308.457516339869
2013-04-26,323.181286549708
2013-04-30,319.456375838926
2013-05-04,315.58125
2013-05-08,305.690909090909
2013-05-12,389.452380952381
2013-05-16,413.22972972973
2013-05-20,378.457364341085
2013-05-24,327.816568047337
2013-05-28,361.20253164557
2013-06-01,254.981220657277
2013-06-05,307.391304347826
2013-06-09,279.691823899371
2013-06-13,232.220430107527
2013-06-17,316.848275862069
2013-06-21,279.922619047619
2013-06-25,284.261146496815
2013-06-29,216.242603550296
2013-07-03,193.103260869565
2013-07-07,163.204301075269
2013-07-11,249.620689655172
2013-07-15,224.109756097561
2013-07-19,214.964912280702
2013-07-23,272.567375886525
2013-07-27,205.699453551913
2013-07-31,260.652631578947
2013-08-04,239.921787709497
2013-08-08,283.034146341463
2013-08-12,232.537037037037
2013-08-16,423.327380952381
2013-08-20,332.778947368421
2013-08-24,283.153005464481
2013-08-28,363.747191011236
2013-09-01,210.850678733032
2013-09-05,339.27374301676
2013-09-09,284.118226600985
2013-09-13,219.774509803922
2013-09-17,379.502793296089
2013-09-21,277.767195767196
2013-09-25,264.796116504854
2013-09-29,242.241176470588
2013-10-03,299.251256281407
2013-10-07,285.557692307692
2013-10-11,280.659459459459
2013-10-15,214.715384615385
2013-10-19,248.031390134529
2013-10-23,250.289592760181
2013-10-27,244.083798882682
2013-10-31,275.739336492891
2013-11-04,233.451282051282
2013-11-08,441.962686567164
2013-11-12,290.084577114428
2013-11-16,243.170103092784
2013-11-20,472.914634146341
2013-11-24,362.267857142857
2013-11-28,546.524861878453
2013-12-02,475.283018867925
2013-12-06,346.629807692308
2013-12-10,352.203125
2013-12-14,271.924623115578
2013-12-18,409.597989949749
2013-12-22,313.0
2013-12-26,284.866666666667
2013-12-30,321.462427745665
2014-01-03,378.757763975155
2014-01-07,355.429378531073
2014-01-11,265.980952380952
2014-01-15,334.847826086957
2014-01-19,284.05325443787
2014-01-23,359.186440677966
2014-01-27,369.965517241379
2014-01-31,327.548913043478
2014-02-04,405.808139534884
2014-02-08,357.192307692308
2014-02-12,349.022471910112
