Transactions Per Block,Estimated Transaction Volume,Fees Per Transaction,Market Value to Realised Value,Confirmed Payments,Price,Vol.,Change %,Date
0.0001020573810556719,1.1047167196169247e-07,3.1760979847382126e-12,0.8291426632204979,0.0,0.0,0.18793833101557733,0.1451846212409593,2010-10-09
0.00010354264520089502,7.5963273443368e-08,4.764146977107319e-12,0.8291591779507388,3.8583329835741747e-07,0.0,0.050703830800476225,0.1451846212409593,2010-10-10
0.00010502790934611826,4.145487492504353e-08,6.352195969476425e-12,0.8291756926809798,7.4767960594392e-07,0.0,0.014096625413944554,0.1451846212409593,2010-10-11
8.797674130604419e-05,5.931852844119396e-08,4.764146977107319e-12,0.8291922074112208,1.1095259135304226e-06,0.0,0.02567206587095935,0.1451846212409593,2010-10-12
7.092557326597018e-05,7.718218195734441e-08,3.1760979847382126e-12,0.8292087221414617,1.4713722211169523e-06,0.0,0.047582363710944146,0.1451846212409593,2010-10-13
5.387440522589611e-05,9.504583547349483e-08,1.5880489923691063e-12,0.7792775865479179,1.8332185287034549e-06,0.0,0.03723750162576411,0.1451846212409593,2010-10-14
3.682323718582199e-05,1.1290948898964526e-07,0.0,0.7293464509543741,2.2399766487971712e-06,0.0,0.024651586245535404,0.1451846212409593,2010-10-15
0.00013736987938973711,1.0367133104782026e-07,0.0,0.6949811413117393,2.6467347688908876e-06,0.0,0.006292957690114354,0.1451846212409593,2010-10-16
0.00023791652159365235,9.44331731059953e-08,0.0,0.6606158316691045,3.053492888984631e-06,0.0,0.018228567426690545,0.1451846212409593,2010-10-17
0.00033846316379756747,8.519501516417033e-08,0.0,0.6337724935216459,3.4602510090783474e-06,0.0,0.02568207057316939,0.1451846212409593,2010-10-18
0.0004390098060014826,7.595685722234534e-08,0.0,0.6069291553741872,4.167356875314039e-06,0.0,0.0062429341790641605,0.1451846212409593,2010-10-19
0.0004015058254316414,6.020835624978464e-08,3.6004485221908426e-08,0.5800858172267287,4.874462741549757e-06,0.0,0.031874981241183355,0.1451846212409593,2010-10-20
0.00036400184486180034,4.4459855277223924e-08,7.200897044381685e-08,0.5908871824761256,5.581568607785449e-06,0.0,0.04489109881644373,0.1451846212409593,2010-10-21
0.00032649786429195916,2.8711354304663257e-08,1.0801345566572528e-07,0.6016885477255224,6.28867447402114e-06,0.0,0.03461626964673396,0.1451846212409593,2010-10-22
0.0002889938837221181,1.2962853332102538e-08,1.440179408876337e-07,0.7126497340242044,6.818684897756823e-06,0.0,0.004422078376837114,0.1451846212409593,2010-10-23
0.0002725276410149746,1.9200325835501238e-07,1.0801345566572528e-07,0.8236109203228863,7.348695321492506e-06,0.0,0.013806489049853432,0.1451846212409593,2010-10-24
0.00025606139830783124,3.710436633779222e-07,7.200897044381685e-08,0.9345721066215683,7.878705745228162e-06,0.0,0.03031424769641732,0.1451846212409593,2010-10-25
0.000239595155600688,5.50084068400832e-07,3.600448522190842e-08,0.9265908315479104,8.408716168963845e-06,1.3686218798842695e-06,0.019229037647694416,0.1451846212409593,2010-10-26
0.0002231289128935445,7.291244734237419e-07,0.0,0.9186095564742526,8.929284904842877e-06,1.3686218798842695e-06,0.06564085120006403,0.1451846212409593,2010-10-27
0.00016865062090766475,6.335983474523668e-07,0.0,0.8797770416925957,9.449853640721936e-06,1.3686218798842695e-06,0.021540123858213363,0.1451846212409593,2010-10-28
0.0001141723289217851,5.380722214809917e-07,0.0,0.8409445269109389,9.970422376600967e-06,1.3686218798842695e-06,0.028703490640601084,0.1451846212409593,2010-10-29
