Date,Market Value to Realised Value
2010-10-09 20:41:19,6.352666686780362
2010-10-13 02:47:11,6.3531377286306885
2010-10-15 22:54:12,5.641056630249542
2010-10-17 23:55:18,5.150963882595316
2010-10-20 03:06:59,4.5767339912147635
2010-10-22 18:01:09,4.730775110836345
2010-10-25 15:02:32,7.104445241046354
2010-10-27 23:10:58,6.990622171465152
2010-10-30 08:14:56,6.15992106333134
2010-11-02 02:32:55,6.110066493139676
2010-11-04 21:37:43,7.570987465931204
2010-11-07 06:26:16,6.8575001113364
2010-11-09 07:46:07,6.218026972971281
2010-11-11 21:02:41,3.9327043395213708
2010-11-14 11:52:26,4.369222888156612
2010-11-17 02:05:00,3.9068690821891168
2010-11-19 06:58:44,3.8759290197947536
2010-11-23 01:46:29,3.8291734209087993
2010-11-26 06:37:54,3.636663663845178
2010-11-29 04:17:33,3.641400175037186
2010-12-01 21:03:49,3.33477049067733
2010-12-04 13:19:06,3.2639783553750985
2010-12-06 19:11:58,2.8799567651896494
2010-12-09 01:13:44,2.8699474832329925
2010-12-12 00:24:14,2.577420021926072
2010-12-15 06:43:53,2.7750236032995423
2010-12-18 08:44:35,2.9724002901527893
2010-12-21 11:59:10,3.1126219010248763
2010-12-24 22:46:54,2.825478875281197
2010-12-28 05:28:42,3.0187267863297826
2010-12-31 11:48:58,3.272906343909936
2011-01-03 12:11:38,3.2173667784880484
2011-01-07 03:26:42,3.163596934452153
2011-01-10 07:34:46,3.3147396699236222
2011-01-13 12:21:53,3.463414028801888
2011-01-16 12:40:07,3.9056182490790348
2011-01-19 17:22:27,3.475715568405893
2011-01-22 20:55:03,3.894264462951525
2011-01-25 23:42:26,3.749111906741403
2011-01-29 04:02:16,3.289346092062832
2011-02-01 09:43:36,3.9623767229252347
2011-02-04 15:52:08,5.1009912630180265
2011-02-07 12:49:41,5.584188563321964
2011-02-10 09:56:07,5.216608063152171
2011-02-13 03:05:05,5.40689256543491
2011-02-15 18:26:58,5.252375679013871
2011-02-18 01:02:45,4.975530746945351
2011-02-20 20:14:12,4.587887976086983
2011-02-23 10:36:30,3.9703654931358465
2011-02-25 17:43:24,4.209865793936692
2011-02-27 18:38:10,4.162493296612676
2011-03-03 06:07:15,3.475245270040641
2011-03-05 14:25:41,3.301176251543819
2011-03-07 15:19:05,3.1907343943015953
2011-03-11 00:26:09,3.063897748437614
2011-03-15 09:32:19,3.0678034450924168
2011-03-19 12:15:06,2.8178475672157717
2011-03-23 10:36:51,2.605046476515847
2011-03-26 21:00:57,2.8405390265474644
2011-03-30 07:06:41,2.600439609881885
2011-04-02 06:46:39,2.4984295152149962
2011-04-05 07:31:49,2.42900620272773
2011-04-08 15:08:19,2.3681068647979733
2011-04-11 22:01:50,2.315697109307737
2011-04-14 22:57:55,2.976845692070188
2011-04-18 06:00:22,3.1801206274668026
2011-04-21 18:05:46,3.341399662409456
2011-04-24 22:02:22,4.349797947193889
2011-04-27 15:53:12,4.482827691473039
2011-04-30 13:26:33,5.553144277813941
2011-05-03 08:01:50,5.930079736953125
2011-05-05 22:03:17,5.066619454770813
2011-05-08 10:11:40,4.884154072631838
2011-05-10 20:33:42,5.138212883945951
2011-05-13 17:07:25,6.132624542097821
2011-05-16 00:49:17,6.444000119205168
2011-05-18 02:18:18,5.4531212332791865
2011-05-20 10:01:31,4.559965471690991
2011-05-22 16:47:37,4.072296009473312
2011-05-24 15:00:43,4.489202038704787
2011-05-26 08:13:05,4.555981605668632
2011-05-29 00:56:15,4.6760738999779425
2011-06-01 07:13:49,4.66853253368483
2011-06-04 00:15:26,5.374940045928282
2011-06-06 08:46:19,7.38146449386699
2011-06-09 03:36:14,6.984563767988254
2011-06-11 12:35:22,6.745181807088258
2011-06-13 16:53:23,3.7606833390942307
2011-06-15 18:52:51,2.8525339895633084
2011-06-18 12:21:28,2.464818306693289
2011-06-20 21:36:30,2.656040224525822
2011-06-22 23:17:01,2.2057071530841266
2011-06-25 10:54:21,2.4052153594822596
2011-06-28 19:41:18,2.4933819504580415
2011-07-01 18:26:20,2.3759764930366996
2011-07-04 21:40:51,2.144581319201385
2011-07-08 14:08:26,2.194907587275084
2011-07-12 00:05:31,2.087102145890922
2011-07-15 08:30:11,1.8918251403039752
2011-07-18 15:28:42,1.8622107486668242
2011-07-22 00:58:53,1.898457367909077
2011-07-25 10:31:51,1.899571945821935
2011-07-28 12:01:37,1.909585738506216
2011-07-31 19:27:07,1.8861277153025346
2011-08-04 04:31:00,1.776359403001855
2011-08-08 09:14:26,1.403350429580216
2011-08-12 03:24:04,1.4634240536717629
2011-08-16 06:50:32,1.5860761969126016
2011-08-20 02:43:38,1.6090998247083328
2011-08-23 11:26:52,1.5802902547253284
2011-08-27 10:27:33,1.4389302932330243
2011-08-31 08:20:16,1.3069096876052122
2011-09-04 01:55:32,1.209064543794725
2011-09-07 19:08:23,1.1054379527534084
2011-09-11 18:29:11,0.9440274642320833
2011-09-15 16:01:08,0.9083867192792016
2011-09-19 14:57:26,0.7740155343044841
2011-09-23 07:52:15,0.9241883192969744
2011-09-27 09:37:44,0.8395274647389661
2011-10-01 12:17:37,0.7891946612857398
2011-10-05 14:05:35,0.7843263883675351
2011-10-09 17:45:49,0.7227658892253409
2011-10-14 13:02:17,0.6811931271213758
2011-10-18 18:52:42,0.5809484214484988
2011-10-23 08:21:59,0.48589712662653317
2011-10-27 22:28:27,0.479785672737462
2011-11-01 10:58:57,0.570215033454613
2011-11-05 04:28:05,0.537342305726385
2011-11-09 01:21:02,0.5084684395502733
2011-11-13 00:27:18,0.518867380167932
