Date,Fees Per Transaction
2011-06-16,0.0500077042265573
2011-06-20,0.0334357925281069
2011-06-24,0.0242966097743637
2011-06-28,0.0331274693441179
2011-07-02,0.0310209625038457
2011-07-06,0.0248340148385208
2011-07-10,0.0225996207122974
2011-07-14,0.0217267492363699
2011-07-18,0.0212912701283575
2011-07-22,0.0209944340730063
2011-07-26,0.0137208418145998
2011-07-30,0.0126220969295596
2011-08-03,0.0139578239911193
2011-08-07,0.0106120870338785
2011-08-11,0.00930126626641998
2011-08-15,0.01316820128
2011-08-19,0.0118283541246329
2011-08-23,0.00965587839906486
2011-08-27,0.00791264714139286
2011-08-31,0.007318637406508
2011-09-04,0.0118821362213255
2011-09-08,0.0056955817441371
2011-09-12,0.00585038728017354
2011-09-16,0.00445995745296833
2011-09-20,0.00474582203561442
2011-09-24,0.00650729582436399
2011-09-28,0.00371165574206415
2011-10-02,0.00330501886370302
2011-10-06,0.0067982198471359
2011-10-10,0.00249038962077041
2011-10-14,0.0023264618600908
2011-10-18,0.00204273790759658
2011-10-22,0.00157372113496285
2011-10-26,0.00175696055007587
2011-10-30,0.0024684316811186
2011-11-03,0.00158640408280825
2011-11-07,0.00190156054061434
2011-11-11,0.00128272038891187
2011-11-15,0.00134481311959925
2011-11-19,0.0015704111157917
2011-11-23,0.00144390611556171
2011-11-27,0.00127489906991934
2011-12-01,0.00221335737599
2011-12-05,0.00120519724302521
2011-12-09,0.00165600028680799
2011-12-13,0.00249727932436182
2011-12-17,0.00214693617424586
2011-12-21,0.00368530136961126
2011-12-25,0.00317889886722968
2011-12-29,0.00321753748426869
2012-01-02,0.00481462537019398
2012-01-06,0.00692278842724458
2012-01-10,0.005256199390065
2012-01-14,0.0122106856114532
2012-01-18,0.011215684695858
2012-01-22,0.00373803389061852
2012-01-26,0.00803660102662952
2012-01-30,0.0266239195041328
2012-02-03,0.00579391430914084
2012-02-07,0.00524673196874579
2012-02-11,0.00295978064665599
2012-02-15,0.00358521980927793
2012-02-19,0.00194793327510217
2012-02-23,0.00290676695192034
2012-02-27,0.00407625343198375
2012-03-02,0.00306006751383819
2012-03-06,0.00354280144935134
2012-03-10,0.0038314948728942
2012-03-14,0.00368561258189851
2012-03-18,0.00285841095652174
2012-03-22,0.00241843368766971
2012-03-26,0.0022847586474259
2012-03-30,0.00306691172199947
2012-04-03,0.00351834814395522
2012-04-07,0.00292819186834343
2012-04-11,0.00343508191750292
2012-04-15,0.00248716829678092
2012-04-19,0.00382683091793472
2012-04-23,0.0033047074848818
2012-04-27,0.00452987795892365
2012-05-01,0.00330873306749572
2012-05-05,0.00310352337982849
2012-05-09,0.0040404769061765
2012-05-13,0.00395708740014978
2012-05-17,0.00350393134084231
2012-05-21,0.00318169656261854
2012-05-25,0.00346341998617539
2012-05-29,0.00291386844753145
2012-06-02,0.00290137225369002
2012-06-06,0.00380366653302721
2012-06-10,0.00349666449380363
2012-06-14,0.00368843682094403
2012-06-18,0.00449158129614607
2012-06-22,0.00594870416869192
2012-06-26,0.00383613551041943
2012-06-30,0.00410167063182198
2012-07-04,0.00388527485808709
2012-07-08,0.00373728132708929
2012-07-12,0.00395941647317904
2012-07-16,0.00520308793563397
2012-07-20,0.00899126958891192
2012-07-24,0.00510594329764756
2012-07-28,0.00515820392473789
2012-08-01,0.00643751931012949
2012-08-05,0.00859177045888536
2012-08-09,0.00656469457223393
2012-08-13,0.00619409962154787
2012-08-17,0.0108228084705332
2012-08-21,0.00600066609046735
2012-08-25,0.00728960677571338
2012-08-29,0.00811010340586547
2012-09-02,0.00933308937929408
2012-09-06,0.00581280989147287
2012-09-10,0.00782834156555245
2012-09-14,0.00648595699696678
2012-09-18,0.0080884479903386
2012-09-22,0.00870041549951799
2012-09-26,0.00740233382119438
2012-09-30,0.0071182496347068
2012-10-04,0.0470157822571074
2012-10-08,0.008702204032311
2012-10-12,0.00871599494769231
2012-10-16,0.00836445061844704
2012-10-20,0.006896761019433
2012-10-24,0.00771147658599023
2012-10-28,0.00760317484708818
2012-11-01,0.00960255548664044
2012-11-05,0.00829000657345792
2012-11-09,0.0082774032069301
2012-11-13,0.00849897146579942
2012-11-17,0.00934752783286603
2012-11-21,0.00923052754822921
2012-11-25,0.00991676032884062
2012-11-29,0.00987204352859298
2012-12-03,0.010307275612701
2012-12-07,0.0102029365437445
2012-12-11,0.0111255927162898
2012-12-15,0.0104094258134614
2012-12-19,0.0105064236462853
2012-12-23,0.0117436864161473
2012-12-27,0.0109708606599507
2012-12-31,0.0109608767532217
2013-01-04,0.0106428037896036
2013-01-08,0.0116965578666072
2013-01-12,0.0114438715569237
2013-01-16,0.0110765131525097
2013-01-20,0.0125427309545425
2013-01-24,0.0171244061517865
2013-01-28,0.0150427661199011
2013-02-01,0.0187323565850532
2013-02-05,0.0165516050528711
2013-02-09,0.018099016970725
2013-02-13,0.0238203115980996
2013-02-17,0.025730181426796
2013-02-21,0.0272268169762672
2013-02-25,0.0294136012373248
2013-03-01,0.0350883589691011
2013-03-05,0.032916287296783
2013-03-09,0.0412328572317219
2013-03-13,0.0410316788455986
2013-03-17,0.0421990574195824
2013-03-21,0.0595714476491046
2013-03-25,0.0663651538781816
2013-03-29,0.0845294428483872
2013-04-02,0.129504700325116
2013-04-06,0.107390119842141
2013-04-10,0.23114616918827
2013-04-14,0.0958462881516256
2013-04-18,0.0850820030312765
2013-04-22,0.116046798954834
2013-04-26,0.104185604219566
2013-04-30,0.138944990511213
2013-05-04,0.0882780409312756
2013-05-08,0.114359966117534
2013-05-12,0.0991490795202318
2013-05-16,0.144495336843229
2013-05-20,0.108583067293712
2013-05-24,0.110179275524608
2013-05-28,0.123768732451994
2013-06-01,0.0977666209275395
2013-06-05,0.12841093512302
2013-06-09,0.0872556898272874
2013-06-13,0.102055467110124
2013-06-17,0.0801347719968874
2013-06-21,0.101583520261331
2013-06-25,0.0779825948346501
2013-06-29,0.0632844444759075
2013-07-03,0.0940124834437161
2013-07-07,0.0429215594680662
2013-07-11,0.0712364348592639
2013-07-15,0.0575719977768515
2013-07-19,0.0516997752084572
2013-07-23,0.0513291240305339
2013-07-27,0.0815387642597685
2013-07-31,0.12028046654104
2013-08-04,0.0728909439191163
2013-08-08,0.088395164997768
2013-08-12,0.0528744583338252
2013-08-16,0.064471653220347
2013-08-20,0.0554516487358518
2013-08-24,0.0580278768988104
2013-08-28,0.469926121545627
2013-09-01,0.0685870321884277
2013-09-05,0.0655757843543554
2013-09-09,0.0627444495575921
2013-09-13,0.0593857241370146
2013-09-17,0.547404142501594
2013-09-21,0.0626294371328003
2013-09-25,0.0694933960173622
2013-09-29,0.0792866499941141
2013-10-03,0.0632947317896417
2013-10-07,0.0887867162880023
2013-10-11,0.0552511732882084
2013-10-15,0.0919856280628522
2013-10-19,0.104958991453569
2013-10-23,0.153003213161403
2013-10-27,0.339465327556889
2013-10-31,0.104032900180402
2013-11-04,0.229656493789353
2013-11-08,0.524911040204235
2013-11-12,0.131266075070065
2013-11-16,0.123717449111243
2013-11-20,0.176809875421111
2013-11-24,0.235418568068339
2013-11-28,0.294945814374711
2013-12-02,0.265611398926719
2013-12-06,0.268485628302687
2013-12-10,0.234795086745569
2013-12-14,0.202115181716003
2013-12-18,0.155331217027647
2013-12-22,0.128865833255069
2013-12-26,0.174230824463875
2013-12-30,0.153666825842968
2014-01-03,0.176457459483311
2014-01-07,0.225079067407487
2014-01-11,0.187014512809256
2014-01-15,0.222981458937759
2014-01-19,0.189946275137401
2014-01-23,0.214424320922282
2014-01-27,0.1671571163145
2014-01-31,0.19186648369227
2014-02-04,0.162044022004831
2014-02-08,0.135470089636243
2014-02-12,0.168329985576642
2014-02-16,0.127645964406312
2014-02-20,0.131492361288222
2014-02-24,0.124961481002732
2014-02-28,0.138960249505973
2014-03-04,0.139569980040297
2014-03-08,0.11315840225031
2014-03-12,0.133539378263614
2014-03-16,0.128160355667627
2014-03-20,0.118037152243078
2014-03-24,0.102299314664645
2014-03-28,0.0871063005107202
2014-04-01,0.0878237793245578
2014-04-05,0.0869690443044868
2014-04-09,0.134398335124078
2014-04-13,0.0843475301870831
2014-04-17,0.11840759224542
2014-04-21,0.106010706536877
2014-04-25,0.0935247447835335
2014-04-29,0.0853103982324042
2014-05-03,0.0864505630306547
2014-05-07,0.0830486308478886
2014-05-11,0.0841673001667795
2014-05-15,0.07665774661264
2014-05-19,0.0795297734172768
2014-05-23,0.0913551564146893
2014-05-27,0.103492676110495
2014-05-31,0.114196791359835
2014-06-04,0.123480539262342
2014-06-08,0.122085559737951
2014-06-12,0.126067783305285
2014-06-16,0.103627319046613
2014-06-20,0.11015883576419
2014-06-24,0.101562266430061
2014-06-28,0.100286422669921
2014-07-02,0.122237484450598
2014-07-06,0.111529653068329
2014-07-10,0.106613108584991
2014-07-14,0.117780412755663
2014-07-18,0.115084232123661
2014-07-22,0.106917436586578
2014-07-26,0.0935741623575963
2014-07-30,0.0973284690832916
2014-08-03,0.0943918362895268
2014-08-07,0.0916525153782596
2014-08-11,0.0955031829021396
2014-08-15,0.0829250771660821
2014-08-19,0.0807220173331684
2014-08-23,0.0765414883223648
2014-08-27,0.0788239107748938
2014-08-31,0.0764801796327201
2014-09-04,0.0744988261621093
2014-09-08,0.0763623246201214
2014-09-12,0.0744094621263816
2014-09-16,0.0766645782528853
2014-09-20,0.0632812261563647
2014-09-24,0.0723859200065374
2014-09-28,0.0684575525765313
2014-10-02,0.059695098303997
2014-10-06,0.0521297163564116
2014-10-10,0.0580422732330872
2014-10-14,0.0634373639144449
2014-10-18,0.0596513550885422
2014-10-22,0.0611193223939248
2014-10-26,0.0549379316976751
2014-10-30,0.0501087763175822
2014-11-03,0.0586242913060206
2014-11-07,0.0554518472907261
2014-11-11,0.0570512930472887
2014-11-15,0.0612457632019921
2014-11-19,0.0577354919543559
2014-11-23,0.0544554781340861
2014-11-27,0.051724655495915
2014-12-01,0.0534984251534935
2014-12-05,0.0500143798810615
2014-12-09,0.0505403466649296
2014-12-13,0.047963303634306
2014-12-17,0.0520011249421768
2014-12-21,0.0473836204620792
2014-12-25,0.0442929191264104
2014-12-29,0.055145139121954
2015-01-02,0.0468875501967841
2015-01-06,0.0399340134378437
2015-01-10,0.0415633230745816
2015-01-14,0.0320872224209635
2015-01-18,0.0323580963604058
2015-01-22,0.0320030300966465
2015-01-26,0.037643013374949
2015-01-30,0.0322469489908751
2015-02-03,0.0342858827007987
2015-02-07,0.0304285323944717
2015-02-11,0.0325823526792473
2015-02-15,0.0415927206649566
2015-02-19,0.0343597749934179
2015-02-23,0.0336719226059963
2015-02-27,0.0331732315963807
2015-03-03,0.0387309898930831
2015-03-07,0.0387714138726647
2015-03-11,0.046705926370553
2015-03-15,0.0402198510203431
2015-03-19,0.0396289050841647
2015-03-23,0.0446799504910276
2015-03-27,0.0347746068827421
2015-03-31,0.0351223016387789
2015-04-04,0.0397998599669879
2015-04-08,0.0368336247301047
2015-04-12,0.038232087126216
2015-04-16,0.0313389983270338
2015-04-20,0.0337420792653557
2015-04-24,0.0337935648001038
2015-04-28,0.0324427158700474
2015-05-02,0.0339241039215285
2015-05-06,0.0333096713292038
2015-05-10,0.0416849824297872
2015-05-14,0.0325316556529031
2015-05-18,0.0356518448590341
2015-05-22,0.0348239176272245
2015-05-26,0.0389016290980842
2015-05-30,0.031707039196825
2015-06-03,0.0318859136003915
2015-06-07,0.0345988034868676
2015-06-11,0.0327031266416191
2015-06-15,0.035943834429434
2015-06-19,0.0550128624495425
2015-06-23,0.0367738255406973
2015-06-27,0.0384067143399676
2015-07-01,0.0384138164008471
2015-07-05,0.0469749847180787
2015-07-09,0.056678367285227
2015-07-13,0.0622213124240014
2015-07-17,0.0567826226285965
2015-07-21,0.0537689085438433
2015-07-25,0.0571505150943574
2015-07-29,0.0797083847445257
2015-08-02,0.0564134399661879
2015-08-06,0.0772123447477451
2015-08-10,0.0646602172586436
2015-08-14,0.0568734747466381
2015-08-18,0.0546184586278377
2015-08-22,0.0493210557615927
2015-08-26,0.0454173107771306
2015-08-30,0.0456586408498671
2015-09-03,0.0497415788037366
2015-09-07,0.0567560773307775
2015-09-11,0.0500941956233154
2015-09-15,0.0398271234172223
2015-09-19,0.0441442343139122
2015-09-23,0.0447289741290077
2015-09-27,0.0479099017380485
2015-10-01,0.0498799221709168
2015-10-05,0.0443365253742919
2015-10-09,0.0491683327380611
2015-10-13,0.0460681103328383
2015-10-17,0.0534780421752839
2015-10-21,0.0509400973781375
2015-10-25,0.0546435515440761
2015-10-29,0.0654282040349179
2015-11-02,0.066502087117321
2015-11-06,0.0722930646907203
2015-11-10,0.0651265258790505
2015-11-14,0.0536844572997348
2015-11-18,0.0550271321248837
2015-11-22,0.058354967308488
2015-11-26,0.0583692545475417
2015-11-30,0.0713054453134089
2015-12-04,0.0600264763527352
2015-12-08,0.0663485827411305
2015-12-12,0.0793158374762541
2015-12-16,0.0781179542254945
2015-12-20,0.0785372212727998
2015-12-24,0.0786485861026156
2015-12-28,0.076503113446732
2016-01-01,0.0688948805859492
2016-01-05,0.076755564955019
2016-01-09,0.0754613289911023
2016-01-13,0.0776900146123054
2016-01-17,0.068510157064283
2016-01-21,0.0934734149551935
2016-01-25,0.0819689322411302
2016-01-29,0.0783607154230614
2016-02-02,0.0890626702906641
2016-02-06,0.0673250108632764
2016-02-10,0.0725404151109417
2016-02-14,0.0755323534358955
2016-02-18,0.0853496177973897
2016-02-22,0.084303698107523
2016-02-26,0.0877838571086631
2016-03-01,0.0935763789508716
2016-03-05,0.10650740750935
2016-03-09,0.11775148081162
2016-03-13,0.0986358281322718
2016-03-17,0.0930737791502609
2016-03-21,0.0846538013882113
2016-03-25,0.0788505905522558
2016-03-29,0.121272904411246
2016-04-02,0.109808138884503
2016-04-06,0.112211861385803
2016-04-10,0.0746317645282238
2016-04-14,0.0835679469956835
2016-04-18,0.0921663802276747
2016-04-22,0.0904238740779391
2016-04-26,0.614379487502144
2016-04-30,0.0858223258704735
2016-05-04,0.0910236017051272
2016-05-08,0.0849426236783259
2016-05-12,0.0924641701629931
2016-05-16,0.115184020935178
2016-05-20,0.108402895876534
2016-05-24,0.107072131728348
2016-05-28,0.136483393934797
2016-06-01,0.128724904376665
2016-06-05,0.135365699551837
2016-06-09,0.130365148167788
2016-06-13,0.177632692210278
2016-06-17,0.23278926302871
2016-06-21,0.206628097884406
2016-06-25,0.198864907515761
2016-06-29,0.175297939849371
2016-07-03,0.173054131445649
2016-07-07,0.167655127382036
2016-07-11,0.170391711340721
2016-07-15,0.169703108751395
2016-07-19,0.186975215254498
2016-07-23,0.199975231313388
2016-07-27,0.206551235699883
2016-07-31,0.239810294145365
2016-08-04,0.169781118487192
2016-08-08,0.216153526933836
2016-08-12,0.177864230317084
2016-08-16,0.186366876309719
2016-08-20,0.169710102179348
2016-08-24,0.15894686929838
2016-08-28,0.159688345361662
2016-09-01,0.152646311391942
2016-09-05,0.167602556862735
2016-09-09,0.178131661228342
2016-09-13,0.171838992739436
2016-09-17,0.161571566341524
2016-09-21,0.161267190723752
2016-09-25,0.151920675992329
2016-09-29,0.170562568797562
2016-10-03,0.175966624173788
2016-10-07,0.165892716009615
2016-10-11,0.193258922469824
2016-10-15,0.189920819176547
2016-10-19,0.197418354055074
2016-10-23,0.231668393264919
2016-10-27,0.230175522257712
2016-10-31,0.220033553955307
2016-11-04,0.236786355016063
2016-11-08,0.212698756824028
2016-11-12,0.203950504331784
2016-11-16,0.199400067257739
2016-11-20,0.22162128889091
2016-11-24,0.302436598389749
2016-11-28,0.266597540072258
2016-12-02,0.293632741533922
